CONCESSIONÁRIA;Cód. ANEEL;Cód. ONS;BARRA;NOME;PONTO DE CONEXÃO;TUST RB Ponta;TUST RB Fora Ponta;TUST FR Ponta;TUST FR Fora Ponta;MUST RB Ponta;MUST RB Fora Ponta
CPFL PIRATININGA;2937;42;415;OESTE--SP088; OESTE - 88;  8,665;  8,691;       ;       ;800,9;828,5
CPFL PIRATININGA;2937;42;3418;PROGAM-SP138; PROCTER GAMBL - 138;  8,522;  8,540;       ;       ;11,00;12,00
CPFL PIRATININGA;2937;42;528;SALTO--SP088; SALTO - 88;  8,527;  8,556;       ;       ;356,8;394,1
CPFL PIRATININGA;2937;42;3420;ULTFVA-SP138; T.ULTRAFERTIL - 138;  8,889;  8,955;       ;       ; 7,00; 7,00
CPFL PIRATININGA;2937;42;3087;VCARV--SP013; VIC. CARVALHO - 13,8;  8,834;  8,896;       ;       ; 9,30;11,00
CPFL PIRATININGA;2937;42;2034;ZANC-Y-SP138; ZANCHETTA - 138;  9,382;  9,630;       ;       ; 9,20;10,70
CPFL SANTA CRUZ;69;85;3150;AVARE-BIO230; AVARE NOVA - 230;  9,005;  9,183;       ;       ;48,70;47,00
CPFL SANTA CRUZ;69;85;3146;B.CAMP-SP088; BERNAR.CAMPOS - 88;  8,484;  8,622;       ;       ;48,37;48,37
CPFL SANTA CRUZ;69;85;683;CACOND-SP138; CACONDE - 138;  8,159;  8,115;       ;       ;18,10;18,00
CPFL SANTA CRUZ;69;85;6603;CBRAN5-SP138; CASA BRANCA 5 - 138;  8,144;  8,100;       ;       ;12,60;11,30
CPFL SANTA CRUZ;69;85;3132;CBRANC-SP138; CASA BRANCA - 138;  8,144;  8,101;       ;       ;15,32;16,00
CPFL SANTA CRUZ;69;85;3149;CEC2---SP088; CERQUEIRA CESAR 2 - 88;  8,580;  8,719;       ;       ;16,13;17,13
CPFL SANTA CRUZ;69;85;3127;DURATE-SP138; DURATEX ITAP - 138;  9,530;  9,836;       ;       ;24,00;24,00
CPFL SANTA CRUZ;69;85;9116;IPAUSS-SP088; UTE IPAUSSU - 88;  8,483;  8,622;       ;       ; 6,00; 6,00
CPFL SANTA CRUZ;69;85;3147;ITAI2--SP138; ITAI 2 - 138;  9,198;  9,457;       ;       ;50,50;65,00
CPFL SANTA CRUZ;69;85;741;ITAPE2-SP138; ITAPETININGA2 - 138;  9,527;  9,831;       ;       ;45,00;45,00
CPFL SANTA CRUZ;69;85;3128;ITAPE4-SP138; ITAPETININGA 4 - 138;  9,526;  9,830;       ;       ;57,00;57,00
CPFL SANTA CRUZ;69;85;4277;ITAPE9-SP138; ITAPETININGA9 - 138;  9,507;  9,804;       ;       ;20,00;17,36
CPFL SANTA CRUZ;69;85;3137;JA-ANT-SP138; ANTARTICA JAG - 138;  8,364;  8,360;       ;       ;44,00;47,00
CPFL SANTA CRUZ;69;85;1968;JAG--Y-SP138; JAGUARIUNA - 138;  8,364;  8,360;       ;       ;18,00;18,00
CPFL SANTA CRUZ;69;85;4217;JAGUA5-SP138; JAGUARIUNA 5 - 138;  8,364;  8,360;       ;       ;26,00;26,00
CPFL SANTA CRUZ;69;85;3130;MOCOC-BIO138; MOCOCA - 138;  8,119;  8,069;       ;       ;35,64;34,02
CPFL SANTA CRUZ;69;85;6601;MOCOC4-SP138; MOCOCA 4 - 138;  8,159;  8,115;       ;       ;31,50;30,60
CPFL SANTA CRUZ;69;85;3148;OURIN1-SP088; OURINHOS 1 - 88;  8,358;  8,500;       ;       ;29,00;33,00
CPFL SANTA CRUZ;69;85;3140;OURIN2-SP088; OURINHOS 2 - 88;  8,389;  8,530;       ;       ;66,00;66,00
CPFL SANTA CRUZ;69;85;3135;PEDRE-BIO138; ETU PEDREIRA - 138;  8,364;  8,360;       ;       ;33,50;38,50
CPFL SANTA CRUZ;69;85;3133;SJRPA-BIO138; S.J.RIOPARDO - 138;  8,159;  8,115;       ;       ;50,00;50,00
CPFL SANTA CRUZ;69;85;7690;US.MOCOCA138; MOCOCA 5 - 138;  8,042;  7,980;       ;       ; 5,00; 5,00
EDP ES;380;11;3036;JNEIVA-2-138; JOAO NEIVA 2 - 138;  8,016;  7,731;       ;       ;296,9;300,3
EDP ES;380;11;3024;LINHA2-ES138; LINHARES - 138;  8,076;  7,796;       ;       ;49,58;46,46
EDP ES;380;11;2655;MASCAR-ES138; MASCARENHAS - 138;  7,944;  7,656;       ;       ;80,20;102,0
EDP ES;380;11;3033;R.N.SUL--138; RIO NOVO SUL - 138;  7,993;  7,718;       ;       ;180,0;204,6
EDP ES;380;11;3030;SMATEUS2-138; SAO MATEUS 2 - 138;  8,191;  7,917;       ;       ;49,58;42,73
EDP ES;380;11;2909;VERONA-ES138; VERONA - 138;  8,181;  7,912;       ;       ;83,15;78,92
EDP ES;380;11;2619;VIANA--ES138; VIANA - 138;  8,084;  7,815;       ;       ;303,3;318,6
EDP ES;380;11;177;VITORI-ES138; VITORIA - 138;  8,114;  7,846;       ;       ;509,8;541,3
EDP SAO PAULO;391;29;452;AGUAZUL--138; AGUA AZUL - 138;  8,634;  8,659;       ;       ;63,99;62,83
EDP SAO PAULO;391;29;459;APAREC-SP088; APARECIDA - 88;  8,361;  8,325;       ;       ;99,81;107,4
EDP SAO PAULO;391;29;3058;AVP----SP088; VILA DE PAIVA - 88;  8,855;  8,886;       ;       ;19,96;17,86
EDP SAO PAULO;391;29;3056;BARRAU-SP138; BARRA DO UNA - 138;  8,710;  8,751;       ;       ;28,37;29,42
EDP SAO PAULO;391;29;3051;BIRITI-SP138; BIRITIBA - 138;  8,660;  8,691;       ;       ;23,12;22,96
EDP SAO PAULO;391;29;3054;BOISSU-SP138; BOISSUCANGA - 138;  8,683;  8,719;       ;       ;35,72;34,67
EDP SAO PAULO;391;29;3057;CARAGU-SP138; CARAGUATATUBA - 88;  8,615;  8,638;       ;       ;64,09;63,04
EDP SAO PAULO;391;29;3081;CEBRA--SP088; CEBRASP - 88;  8,828;  8,859;       ;       ;11,24;12,08
EDP SAO PAULO;391;29;3401;DCTA---SP088; ETC DCTA SP - 088;  8,870;  8,902;       ;       ; 2,21; 5,87
EDP SAO PAULO;391;29;3063;EMBRAE-SP138; EMBRAER - 88;  8,513;  8,518;       ;       ; 8,41;10,19
EDP SAO PAULO;391;29;3084;GLEB-Y-SP138; GLEBA - 138;  8,649;  8,679;       ;       ;29,21;30,05
EDP SAO PAULO;391;29;445;ITAPET-SP088; ITAPETI - 88;  8,571;  8,600;       ;       ;331,0;331,0
EDP SAO PAULO;391;29;3060;JAMBEI-SP138; JAMBEIRO - 88;  8,541;  8,551;       ;       ; 5,37; 6,54
EDP SAO PAULO;391;29;3077;JUQUEH-SP138; JUQUEHY - 138;  8,700;  8,739;       ;       ;16,81;16,81
EDP SAO PAULO;391;29;3046;MANUEL-SP138; MANUEL AREIAS - 138;  8,648;  8,675;       ;       ;24,16;28,37
EDP SAO PAULO;391;29;3055;MARESI-SP138; MARESIAS - 138;  8,676;  8,710;       ;       ;16,81;15,76
EDP SAO PAULO;391;29;3090;MASSAG-SP138; MASSAGUACU - 138;  8,615;  8,638;       ;       ;25,22;25,22
EDP SAO PAULO;391;29;3082;MFOODS-SP088; MASTERFOODS - 88;  8,804;  8,834;       ;       ;16,28;15,76
EDP SAO PAULO;391;29;447;MOG-EP-SP088; MOGI - 88;  9,069;  9,174;       ;       ;220,6;225,6
EDP SAO PAULO;391;29;3076;OLARIA-SP138; OLARIA - 138;  8,640;  8,667;       ;       ; 5,10; 5,10
EDP SAO PAULO;391;29;3059;P.NOVO-SP138; PORTO NOVO - 138;  8,629;  8,655;       ;       ;24,95;24,16
EDP SAO PAULO;391;29;3069;PET-RP-SP138; RIO PARDO - 138;  8,653;  8,683;       ;       ;18,18;18,60
EDP SAO PAULO;391;29;3048;PETROM-SP138; PETROM - 138;  8,661;  8,691;       ;       ; 6,83; 6,83
EDP SAO PAULO;391;29;3047;POLIMX-SP138; POLIMIX - 138;  8,650;  8,678;       ;       ; 0,00; 0,00
EDP SAO PAULO;391;29;462;S.CAB1-SP088; SANTA CABECA - 88;  8,507;  8,513;       ;       ;147,1;152,3
EDP SAO PAULO;391;29;455;S.JOSE-SP088; S.JOSE CAMPOS - 88;  8,872;  8,904;       ;       ;512,6;523,1
